loan_id,reporting_month,origination_month,month_index,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,credit_score,ltv,servicer_name,current_status,days_past_due,document_status,last_updated_at,source_system,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,next_state,exception_type,exception_required
L000000,2023-12-01,2023-11-01,1,1,239,534019,534019.0,5.25,788,43.9,Atlas,Prepaid,0,complete,2023-12-09,core,0.0,0.0,0.0,,prepaid,none,0
L000000,2024-01-01,2023-11-01,2,2,238,534019,534019.0,5.25,805,43.9,Atlas,Prepaid,0,complete,2024-01-18,core,0.0,0.0,0.0,,prepaid,none,0
L000000,2024-02-01,2023-11-01,3,3,237,534019,-25.0,5.25,783,43.9,Atlas,Prepaid,0,complete,2024-02-02,core,0.0,0.0,0.0,,prepaid,data_break,1
L000000,2024-04-01,2023-11-01,5,5,235,534019,534019.0,5.25,773,43.9,Atlas,Prepaid,0,complete,2024-04-03,core,0.0,0.0,0.0,,prepaid,none,0
L000000,2024-05-01,2023-11-01,6,6,234,534019,534019.0,5.25,781,43.9,Atlas,Prepaid,0,complete,2024-05-17,core,0.0,0.0,0.0,,prepaid,none,0
L000000,2024-07-01,2023-11-01,8,8,232,534019,534019.0,5.25,768,43.9,Atlas,Prepaid,0,complete,2024-07-05,core,0.0,0.0,0.0,,prepaid,none,0
L000000,2024-09-01,2023-11-01,10,10,230,534019,582162.26,5.25,768,43.9,Atlas,Prepaid,0,complete,2024-09-13,core,0.0,0.0,0.0,,prepaid,none,0
L000000,2024-11-01,2023-11-01,12,12,228,534019,534019.0,5.25,791,43.9,Atlas,Prepaid,0,complete,2024-11-12,core,0.0,0.0,0.0,,prepaid,none,0
L000000,2024-12-01,2023-11-01,13,13,227,534019,534019.0,5.25,790,43.9,Atlas,Prepaid,0,complete,2024-12-19,core,0.0,0.0,0.0,,prepaid,none,0
L000001,2023-11-01,2023-11-01,0,0,240,316239,314849.91,7.25,612,70.9,Cedar,Current,0,complete,2023-11-06,core,0.0,0.0,1.0,0.0,current,none,0
L000001,2024-02-01,2023-11-01,3,3,237,316239,310756.76,7.25,625,70.0,Cedar,Current,0,complete,2024-02-03,core,0.0,1.0,1.0,0.0,current,none,0
