loan_id,credit_score,credit_score_band,ltv,ltv_band,dti,dti_band,state,loan_purpose,occupancy_type,property_type,original_balance,interest_rate,term_months,origination_month,vintage
L000000,784,740+,43.9,<=60,48.2,44-50,FL,purchase,owner,sfr,534019,5.25,240,2023-11-01,2023
L000001,622,620-679,71.2,61-80,33.2,21-35,IL,cash_out,owner,condo,316239,7.25,240,2023-11-01,2023
L000002,586,<620,43.6,<=60,38.5,36-43,GA,refinance,owner,sfr,332146,5.75,360,2023-03-01,2023
L000003,733,680-739,67.9,61-80,26.3,21-35,GA,refinance,owner,sfr,607601,3.75,360,2023-11-01,2023
L000004,667,620-679,49.8,<=60,39.0,36-43,WA,refinance,second_home,sfr,436335,6.25,360,2023-11-01,2023
L000005,692,680-739,62.6,61-80,25.3,21-35,TX,refinance,owner,condo,543019,4.5,360,2023-06-01,2023
L000006,599,<620,60.7,61-80,34.6,21-35,NY,refinance,owner,sfr,599770,6.0,360,2023-04-01,2023
L000007,668,620-679,79.8,61-80,38.1,36-43,GA,cash_out,owner,sfr,140635,6.5,360,2023-07-01,2023
L000008,734,680-739,62.3,61-80,25.9,21-35,NY,refinance,second_home,townhouse,145936,6.25,240,2023-11-01,2023
L000009,665,620-679,54.8,<=60,23.0,21-35,WA,refinance,second_home,sfr,633525,8.0,360,2023-05-01,2023
L000010,779,740+,72.7,61-80,29.8,21-35,GA,refinance,owner,townhouse,547545,4.0,360,2023-10-01,2023
L000011,769,740+,115.0,100+,27.9,21-35,IL,purchase,second_home,sfr,247935,3.5,360,2023-03-01,2023
L000012,749,740+,79.4,61-80,30.0,21-35,WA,cash_out,owner,sfr,217226,6.5,240,2023-11-01,2023
L000013,797,740+,42.8,<=60,23.1,21-35,CA,purchase,owner,sfr,96842,3.5,360,2023-09-01,2023
L000014,753,740+,73.4,61-80,42.7,36-43,WA,refinance,investor,condo,316340,6.25,240,2023-06-01,2023
L000015,622,620-679,110.6,100+,30.5,21-35,NY,cash_out,owner,condo,161159,4.5,360,2023-09-01,2023
L000016,786,740+,74.5,61-80,36.9,36-43,GA,purchase,owner,sfr,179053,4.25,360,2023-03-01,2023
L000017,736,680-739,91.2,81-100,18.3,<=20,NY,purchase,investor,sfr,335642,6.5,360,2023-02-01,2023
L000018,603,<620,88.7,81-100,27.7,21-35,CA,purchase,owner,sfr,152019,5.0,360,2023-01-01,2023
L000019,651,620-679,89.8,81-100,47.3,44-50,WA,cash_out,owner,sfr,470501,6.25,360,2023-10-01,2023
L000020,619,<620,87.8,81-100,25.1,21-35,IL,purchase,owner,sfr,362090,7.0,240,2023-09-01,2023
L000021,812,740+,76.2,61-80,35.5,36-43,NY,purchase,owner,sfr,306801,3.5,360,2023-11-01,2023
L000022,754,740+,69.2,61-80,51.7,44-50,NY,purchase,owner,condo,123800,6.0,360,2023-12-01,2023
L000023,800,740+,67.8,61-80,32.9,21-35,NY,cash_out,owner,sfr,363461,6.5,240,2023-05-01,2023
L000024,647,620-679,73.8,61-80,46.5,44-50,TX,refinance,owner,sfr,559589,6.25,240,2023-03-01,2023
L000025,732,680-739,78.4,61-80,24.9,21-35,NY,refinance,owner,sfr,183218,5.5,360,2023-04-01,2023
L000026,725,680-739,52.9,<=60,28.6,21-35,WA,refinance,investor,condo,435229,7.25,240,2023-03-01,2023
L000027,760,740+,67.8,61-80,32.4,21-35,TX,refinance,investor,condo,594172,4.0,180,2023-03-01,2023
L000028,608,<620,71.4,61-80,28.1,21-35,TX,refinance,owner,sfr,145167,7.5,180,2023-12-01,2023
L000029,703,680-739,73.6,61-80,36.0,36-43,WA,purchase,owner,condo,311264,6.0,360,2023-10-01,2023
