loan_id,current_balance,current_status,last_updated_at,source_system
L001096,601812.85,Current,2025-05-08,servicer
L000280,196676.47,Current,2025-05-27,servicer
L000133,429210.42,Current,2025-06-11,servicer
L000378,89595.33,Current,2024-03-07,servicer
L000353,458193.31,Prepaid,2025-05-05,servicer
L000784,591878.11,Current,2025-05-16,servicer
L000603,547184.84,Current,2025-07-07,servicer
L000713,215279.23,Delinquent,2025-06-17,servicer
L000304,591491.63,Current,2025-02-24,servicer
L000965,232983.57,Current,2025-06-12,servicer
L000345,332523.45,Delinquent,2025-07-10,servicer
L000343,232213.82,Prepaid,2025-06-28,servicer
L001065,462241.64,Current,2024-12-05,servicer
L001110,545804.3,Delinquent,2024-07-10,servicer
L000738,296192.32,Current,2025-06-09,servicer
L000607,264991.12,Current,2025-07-10,servicer
L000527,384230.78,Current,2025-05-25,servicer
L000562,146302.97,Delinquent,2025-07-05,servicer
L000059,102759.41,Delinquent,2025-05-31,servicer
L000777,472643.63,Delinquent,2025-06-29,servicer
L000526,634543.9,Delinquent,2024-10-08,servicer
L000003,597056.2,Current,2025-03-15,servicer
L000584,467000.86,Current,2025-06-02,servicer
L000686,366401.66,Delinquent,2025-06-24,servicer
L000314,248578.39,Delinquent,2025-06-25,servicer
L000768,267294.71,Current,2025-06-16,servicer
L001047,429603.33,Current,2025-07-07,servicer
L000881,405333.2,Delinquent,2025-06-03,servicer
L000682,124870.21,Delinquent,2025-06-11,servicer
L000286,390230.58,Current,2024-12-21,servicer
L000142,302782.35,Delinquent,2025-05-18,servicer
L000613,544118.96,Current,2025-06-25,servicer
L000904,478486.21,Current,2025-06-02,servicer
L000337,488371.34,Delinquent,2025-06-05,servicer
L000704,160448.06,Delinquent,2025-06-14,servicer
L000781,492046.2,Current,2023-11-02,servicer
L000600,333658.2,Current,2025-05-29,servicer
L000810,602143.71,Current,2025-06-08,servicer
L000419,83900.02,Current,2025-06-24,servicer
L000860,-3113.47,Current,2024-09-13,servicer
L000421,591448.18,Current,2025-06-12,servicer
L001140,279865.84,Delinquent,2025-05-04,servicer
L000417,105924.89,Prepaid,2025-05-24,servicer
L000103,105741.29,Delinquent,2024-04-07,servicer
L000399,160554.48,Current,2025-06-30,servicer
L000134,357476.66,Delinquent,2023-05-17,servicer
L000125,527091.13,Delinquent,2025-06-20,servicer
L000946,270052.57,Delinquent,2025-02-05,servicer
L000825,347492.91,Current,2025-06-06,servicer
L000186,287971.82,Current,2025-04-27,servicer
L000034,416214.38,Current,2025-04-03,servicer
L001005,117641.41,Current,2025-05-26,servicer
L001111,122081.53,Delinquent,2025-05-09,servicer
L000058,90680.0,Current,2025-06-30,servicer
L000511,78510.28,Prepaid,2025-06-17,servicer
L000729,499134.94,Delinquent,2025-07-05,servicer
L001015,406228.94,Prepaid,2025-06-28,servicer
L000420,245548.29,Delinquent,2025-04-07,servicer
L001000,294090.3,Current,2025-06-24,servicer
L000918,199467.6,Delinquent,2025-04-08,servicer
L000728,96011.53,Current,2025-07-06,servicer
L000662,77371.77,Current,2025-05-09,servicer
L000799,352992.78,Current,2024-05-01,servicer
L000952,598862.68,30 DPD,2023-11-26,servicer
