reporting_month,rows,mean_quality_score,median_quality_score,total_breaches,breaches_per_1k_rows
2023-01-01,71,84.96,90.0,111,1563.4
2023-02-01,112,85.46,90.0,172,1535.7
2023-03-01,179,84.28,82.0,295,1648.0
2023-04-01,250,84.95,89.05,394,1576.0
2023-05-01,302,84.41,82.0,492,1629.1
2023-06-01,372,84.22,82.0,613,1647.8
2023-07-01,408,84.28,82.0,671,1644.6
2023-08-01,440,84.15,82.0,728,1654.5
2023-09-01,514,84.08,82.0,852,1657.6
2023-10-01,568,83.94,82.0,947,1667.3
2023-11-01,619,84.13,82.0,1022,1651.1
2023-12-01,678,83.29,82.0,1171,1727.1
2024-01-01,661,83.55,82.0,1126,1703.5
2024-02-01,663,83.56,82.0,1119,1687.8
2024-03-01,685,83.33,82.0,1176,1716.8
2024-04-01,670,83.32,82.0,1141,1703.0
2024-05-01,668,83.46,82.0,1129,1690.1
2024-06-01,633,82.64,82.0,1118,1766.2
2024-07-01,652,82.49,82.0,1152,1766.9
2024-08-01,684,82.39,82.0,1216,1777.8
2024-09-01,657,81.91,82.0,1205,1834.1
2024-10-01,634,81.96,82.0,1154,1820.2
2024-11-01,630,81.47,82.0,1176,1866.7
2024-12-01,643,81.19,82.0,1222,1900.5
