target,bin,lower,upper,count,mean_predicted,observed_rate
next_3m_delinquency_flag,0,0.0,0.1,8361,0.0458,0.0618
next_3m_delinquency_flag,1,0.1,0.2,1816,0.1353,0.0826
next_3m_delinquency_flag,2,0.2,0.3,313,0.239,0.1565
next_3m_delinquency_flag,3,0.3,0.4,92,0.3408,0.3043
next_3m_delinquency_flag,4,0.4,0.5,30,0.4523,0.2667
next_3m_delinquency_flag,5,0.5,0.6,17,0.5328,0.0588
next_3m_delinquency_flag,6,0.6,0.7,3,0.6475,0.0
next_3m_delinquency_flag,7,0.7,0.8,1,0.7053,0.0
next_6m_delinquency_flag,0,0.0,0.1,6268,0.0456,0.0767
next_6m_delinquency_flag,1,0.1,0.2,2321,0.1426,0.1409
next_6m_delinquency_flag,2,0.2,0.3,987,0.2451,0.1408
next_6m_delinquency_flag,3,0.3,0.4,481,0.3431,0.1913
next_6m_delinquency_flag,4,0.4,0.5,285,0.4437,0.2947
next_6m_delinquency_flag,5,0.5,0.6,149,0.5438,0.4094
next_6m_delinquency_flag,6,0.6,0.7,75,0.6457,0.36
next_6m_delinquency_flag,7,0.7,0.8,55,0.7436,0.4364
next_6m_delinquency_flag,8,0.8,0.9,12,0.8376,0.25
next_12m_default_flag,0,0.0,0.1,8500,0.0251,0.0287
next_12m_default_flag,1,0.1,0.2,997,0.1439,0.0983
next_12m_default_flag,2,0.2,0.3,467,0.2428,0.1071
next_12m_default_flag,3,0.3,0.4,267,0.3428,0.1386
next_12m_default_flag,4,0.4,0.5,155,0.4444,0.2065
next_12m_default_flag,5,0.5,0.6,101,0.5426,0.3465
next_12m_default_flag,6,0.6,0.7,77,0.6472,0.4545
next_12m_default_flag,7,0.7,0.8,37,0.738,0.5946
next_12m_default_flag,8,0.8,0.9,27,0.8584,0.8519
next_12m_default_flag,9,0.9,1.0,5,0.9194,1.0
next_12m_prepayment_flag,0,0.0,0.1,2782,0.0546,0.0773
next_12m_prepayment_flag,1,0.1,0.2,2103,0.1468,0.145
next_12m_prepayment_flag,2,0.2,0.3,1364,0.2479,0.1804
next_12m_prepayment_flag,3,0.3,0.4,993,0.3485,0.2145
next_12m_prepayment_flag,4,0.4,0.5,728,0.4468,0.3008
next_12m_prepayment_flag,5,0.5,0.6,512,0.5481,0.3398
next_12m_prepayment_flag,6,0.6,0.7,363,0.6474,0.438
next_12m_prepayment_flag,7,0.7,0.8,260,0.748,0.5923
next_12m_prepayment_flag,8,0.8,0.9,126,0.8397,0.627
next_12m_prepayment_flag,9,0.9,1.0,22,0.9247,1.0
exception_required,0,0.0,0.1,4051,0.0596,0.0807
exception_required,1,0.1,0.2,3237,0.1449,0.0865
exception_required,2,0.2,0.3,1877,0.2458,0.1284
exception_required,3,0.3,0.4,939,0.3442,0.2194
exception_required,4,0.4,0.5,451,0.447,0.3725
exception_required,5,0.5,0.6,312,0.5442,0.6314
exception_required,6,0.6,0.7,155,0.6425,0.7613
exception_required,7,0.7,0.8,78,0.7339,0.8718
exception_required,8,0.8,0.9,7,0.8256,1.0
