target,segment,segment_value,n,event_rate,ece,bins
next_3m_delinquency_flag,credit_score_band,620-679,906,0.1004,0.0264,5
next_3m_delinquency_flag,credit_score_band,680-739,932,0.0676,0.0136,5
next_3m_delinquency_flag,credit_score_band,740+,1231,0.0471,0.0068,5
next_3m_delinquency_flag,credit_score_band,<620,597,0.0754,0.0178,5
next_3m_delinquency_flag,vintage_year,2023,3666,0.0701,0.008,5
next_3m_delinquency_flag,state,CA,547,0.075,0.0151,5
next_3m_delinquency_flag,state,FL,529,0.0586,0.0106,5
next_3m_delinquency_flag,state,GA,499,0.0601,0.016,5
next_3m_delinquency_flag,state,IL,556,0.0899,0.0317,5
next_3m_delinquency_flag,state,NY,554,0.0271,0.023,5
next_3m_delinquency_flag,state,TX,443,0.1084,0.039,5
next_3m_delinquency_flag,state,WA,538,0.0781,0.0145,5
next_6m_delinquency_flag,credit_score_band,620-679,906,0.1468,0.0294,8
next_6m_delinquency_flag,credit_score_band,680-739,932,0.1062,0.0091,8
next_6m_delinquency_flag,credit_score_band,740+,1231,0.0658,0.0181,8
next_6m_delinquency_flag,credit_score_band,<620,597,0.1139,0.0426,8
next_6m_delinquency_flag,vintage_year,2023,3666,0.1039,0.012,9
next_6m_delinquency_flag,state,CA,547,0.1133,0.0406,8
next_6m_delinquency_flag,state,FL,529,0.087,0.0333,8
next_6m_delinquency_flag,state,GA,499,0.0822,0.0396,7
next_6m_delinquency_flag,state,IL,556,0.1241,0.0295,8
next_6m_delinquency_flag,state,NY,554,0.0542,0.0152,8
next_6m_delinquency_flag,state,TX,443,0.158,0.058,7
next_6m_delinquency_flag,state,WA,538,0.1171,0.0274,8
next_12m_default_flag,credit_score_band,620-679,906,0.0673,0.0326,10
next_12m_default_flag,credit_score_band,680-739,932,0.03,0.0157,9
next_12m_default_flag,credit_score_band,740+,1231,0.0187,0.0103,10
next_12m_default_flag,credit_score_band,<620,597,0.057,0.0278,7
next_12m_default_flag,vintage_year,2023,3666,0.0398,0.0184,10
next_12m_default_flag,state,CA,547,0.0402,0.0198,10
next_12m_default_flag,state,FL,529,0.0302,0.02,7
next_12m_default_flag,state,GA,499,0.024,0.0141,8
next_12m_default_flag,state,IL,556,0.0683,0.0271,9
next_12m_default_flag,state,NY,554,0.0108,0.0092,7
next_12m_default_flag,state,TX,443,0.0474,0.0201,6
next_12m_default_flag,state,WA,538,0.0576,0.0269,10
next_12m_prepayment_flag,credit_score_band,620-679,794,0.073,0.0436,10
next_12m_prepayment_flag,credit_score_band,680-739,744,0.1237,0.0721,10
next_12m_prepayment_flag,credit_score_band,740+,830,0.1904,0.0863,10
next_12m_prepayment_flag,credit_score_band,<620,562,0.0694,0.0417,9
next_12m_prepayment_flag,vintage_year,2023,2930,0.1184,0.0577,10
next_12m_prepayment_flag,state,CA,440,0.1273,0.0719,10
next_12m_prepayment_flag,state,FL,459,0.0871,0.0523,10
next_12m_prepayment_flag,state,GA,400,0.15,0.0787,10
next_12m_prepayment_flag,state,IL,433,0.1132,0.0567,10
next_12m_prepayment_flag,state,NY,417,0.1079,0.0566,10
next_12m_prepayment_flag,state,TX,352,0.1108,0.0676,10
next_12m_prepayment_flag,state,WA,429,0.1352,0.0804,10
exception_required,credit_score_band,620-679,977,0.1341,0.0367,10
exception_required,credit_score_band,680-739,985,0.1492,0.04,10
exception_required,credit_score_band,740+,1253,0.15,0.0421,10
exception_required,credit_score_band,<620,685,0.1416,0.0376,10
exception_required,vintage_year,2023,3900,0.1444,0.0324,10
exception_required,state,CA,583,0.1509,0.0408,10
exception_required,state,FL,576,0.1597,0.0618,10
exception_required,state,GA,534,0.1442,0.0425,10
exception_required,state,IL,598,0.1639,0.0331,10
exception_required,state,NY,572,0.1381,0.0404,10
exception_required,state,TX,479,0.1211,0.0395,10
exception_required,state,WA,558,0.1272,0.0349,10
