target,loan_id,baseline_probability,best_counterfactual,best_delta,all_cured_probability,days_past_due_prob,days_past_due_delta,credit_score_numeric_prob,credit_score_numeric_delta,ltv_numeric_prob,ltv_numeric_delta,interest_rate_prob,interest_rate_delta,balance_ratio_prob,balance_ratio_delta,all_cured_delta
next_12m_default_flag,L000553,0.9096,cure delinquency (DPD → 0),0.0013,0.4048,0.9109,0.0013,0.601,-0.3086,0.7655,-0.1441,0.8944,-0.0152,0.9096,0.0,-0.5048
next_12m_default_flag,L000553,0.909,cure delinquency (DPD → 0),0.0013,0.4494,0.9103,0.0013,0.6429,-0.2661,0.7647,-0.1442,0.8936,-0.0153,0.909,0.0,-0.4595
next_12m_default_flag,L000553,0.909,cure delinquency (DPD → 0),0.0013,0.4272,0.9103,0.0013,0.6235,-0.2855,0.7647,-0.1442,0.8936,-0.0153,0.909,0.0,-0.4818
next_12m_default_flag,L000553,0.909,cure delinquency (DPD → 0),0.0013,0.4171,0.9103,0.0013,0.613,-0.296,0.7647,-0.1442,0.8936,-0.0153,0.909,0.0,-0.4918
next_12m_default_flag,L000235,0.9027,20% principal paydown,0.0,0.7514,0.8991,-0.0036,0.7785,-0.1242,0.8405,-0.0622,0.8717,-0.031,0.9027,0.0,-0.1513
next_12m_default_flag,L000186,0.8914,20% principal paydown,0.0,0.2476,0.8874,-0.004,0.6757,-0.2157,0.552,-0.3394,0.8294,-0.0621,0.8914,0.0,-0.6439
next_12m_default_flag,L000689,0.8728,20% principal paydown,0.0,0.0854,0.865,-0.0079,0.8114,-0.0615,0.5616,-0.3112,0.3463,-0.5265,0.8728,0.0,-0.7874
next_12m_default_flag,L000689,0.8727,20% principal paydown,0.0,0.0827,0.8653,-0.0074,0.7848,-0.088,0.5582,-0.3145,0.3497,-0.5231,0.8727,0.0,-0.7901
next_12m_default_flag,L000235,0.8727,20% principal paydown,0.0,0.7243,0.8674,-0.0052,0.7453,-0.1274,0.8479,-0.0248,0.8334,-0.0393,0.8727,0.0,-0.1484
next_12m_default_flag,L001070,0.8671,cure delinquency (DPD → 0),0.0,0.3459,0.8671,0.0,0.7271,-0.1401,0.8534,-0.0137,0.7966,-0.0705,0.8671,0.0,-0.5212
next_12m_default_flag,L000689,0.8637,20% principal paydown,0.0,0.0854,0.8536,-0.0101,0.8114,-0.0523,0.5409,-0.3228,0.3299,-0.5337,0.8637,0.0,-0.7782
next_12m_default_flag,L000394,0.862,rate −1 pp,0.0,0.5557,0.8587,-0.0033,0.81,-0.052,0.7042,-0.1577,0.862,0.0,0.862,0.0,-0.3063
next_12m_default_flag,L000394,0.8612,rate −1 pp,0.0,0.5974,0.8587,-0.0025,0.8331,-0.0281,0.7053,-0.1559,0.8612,0.0,0.8612,0.0,-0.2638
next_12m_default_flag,L000689,0.8548,20% principal paydown,0.0,0.0832,0.8429,-0.012,0.8013,-0.0536,0.521,-0.3338,0.3198,-0.535,0.8548,0.0,-0.7716
next_12m_default_flag,L000394,0.8501,rate −1 pp,0.0,0.4495,0.8464,-0.0037,0.7134,-0.1367,0.6524,-0.1977,0.8501,0.0,0.8501,0.0,-0.4005
next_12m_default_flag,L000938,0.8394,20% principal paydown,0.0,0.0903,0.8284,-0.011,0.7527,-0.0868,0.6515,-0.1879,0.4463,-0.3932,0.8394,0.0,-0.7491
next_12m_default_flag,L000394,0.8277,rate −1 pp,0.0,0.5103,0.8135,-0.0142,0.7774,-0.0503,0.6684,-0.1593,0.8277,0.0,0.8277,0.0,-0.3174
next_12m_default_flag,L000235,0.8204,20% principal paydown,0.0,0.7243,0.81,-0.0104,0.7453,-0.0751,0.8194,-0.0009,0.7795,-0.0409,0.8204,0.0,-0.0961
next_12m_default_flag,L000689,0.8114,20% principal paydown,0.0,0.0846,0.8001,-0.0113,0.7976,-0.0138,0.4611,-0.3503,0.2732,-0.5381,0.8114,0.0,-0.7268
next_12m_default_flag,L000404,0.8067,LTV −10 points,0.0152,0.3285,0.8067,0.0,0.5371,-0.2696,0.8219,0.0152,0.7869,-0.0198,0.8067,0.0,-0.4783
