loan_id,reporting_month,days_past_due,current_balance,credit_score_band,state,servicer_name,data_quality_score,next_3m_delinquency_flag,predicted_probability,error_type,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag
L001032,2023-07-01,0,108279.98,740+,IL,Atlas,90.0,1.0,0.056,false_negative,,,
L001083,2023-07-01,0,527655.25,740+,TX,Cedar,90.0,1.0,0.0095,false_negative,,,
L001101,2023-07-01,0,321612.76,740+,IL,Beacon,82.0,1.0,0.3352,false_negative,,,
L000235,2023-07-01,30,215614.84,680-739,FL,Cedar,90.0,1.0,0.2435,false_negative,,,
L001076,2023-07-01,0,592559.75,<620,NY,Beacon,82.0,1.0,0.118,false_negative,,,
L001072,2023-07-01,0,255316.06,620-679,TX,Beacon,82.0,1.0,0.1368,false_negative,,,
L000396,2023-07-01,0,276352.57,740+,GA,Beacon,82.0,1.0,0.0517,false_negative,,,
L000404,2023-07-01,60,273310.27,<620,CA,Beacon,82.0,0.0,0.6383,false_positive,,,
L000593,2023-07-01,0,155091.3,<620,CA,Beacon,90.0,1.0,0.0312,false_negative,,,
L000689,2023-07-01,0,562702.41,740+,IL,Cedar,82.0,1.0,0.4415,false_negative,,,
L001025,2023-07-01,0,158986.28,740+,CA,Beacon,90.0,1.0,0.3049,false_negative,,,
L000680,2023-07-01,0,436045.08,620-679,TX,Beacon,90.0,1.0,0.1187,false_negative,,,
L000515,2023-07-01,0,484108.26,740+,NY,Cedar,82.0,1.0,0.2223,false_negative,,,
L000334,2023-07-01,60,530814.56,680-739,TX,Atlas,80.0,1.0,0.4118,false_negative,,,
L001099,2023-07-01,0,550716.36,740+,CA,Atlas,90.0,1.0,0.1611,false_negative,,,
L000666,2023-07-01,0,426940.38,680-739,CA,Cedar,80.0,1.0,0.2719,false_negative,,,
L001041,2023-07-01,0,609784.83,740+,IL,Cedar,82.0,1.0,0.3582,false_negative,,,
L000179,2023-07-01,0,519045.39,740+,IL,Cedar,90.0,1.0,0.0733,false_negative,,,
L000978,2023-07-01,0,485294.17,<620,NY,Cedar,90.0,1.0,0.2391,false_negative,,,
L000042,2023-07-01,30,567255.03,<620,CA,Atlas,90.0,1.0,0.335,false_negative,,,
L000035,2023-07-01,0,382868.19,620-679,IL,Beacon,82.0,1.0,0.0152,false_negative,,,
L000817,2023-07-01,0,278812.73,<620,WA,Beacon,82.0,1.0,0.4519,false_negative,,,
L000937,2023-07-01,0,617266.58,<620,NY,Atlas,90.0,1.0,0.0257,false_negative,,,
L000887,2023-07-01,0,438499.94,680-739,TX,Beacon,90.0,1.0,0.0814,false_negative,,,
L000143,2023-07-01,0,177147.9,620-679,TX,Cedar,90.0,1.0,0.1789,false_negative,,,
L000551,2023-08-01,0,340425.16,680-739,WA,Beacon,82.0,1.0,0.0281,false_negative,,,
L001122,2023-08-01,0,208684.09,680-739,GA,Beacon,82.0,1.0,0.0395,false_negative,,,
L000994,2023-08-01,0,559829.59,620-679,IL,Cedar,82.0,1.0,0.4722,false_negative,,,
L000114,2023-08-01,30,381456.8,740+,CA,Cedar,90.0,1.0,0.0248,false_negative,,,
L000768,2023-08-01,0,292103.11,620-679,IL,Atlas,74.0,1.0,0.0726,false_negative,,,
L000042,2023-08-01,0,565349.47,<620,CA,Atlas,90.0,1.0,0.1831,false_negative,,,
L000533,2023-08-01,0,317862.98,680-739,GA,Cedar,90.0,1.0,0.0445,false_negative,,,
L000700,2023-08-01,0,491111.28,740+,TX,Beacon,90.0,1.0,0.0146,false_negative,,,
L000207,2023-08-01,0,583377.4,620-679,NY,Beacon,82.0,1.0,0.0374,false_negative,,,
L000082,2023-08-01,0,250259.03,620-679,CA,Beacon,82.0,1.0,0.0304,false_negative,,,
L001099,2023-08-01,0,549057.94,740+,CA,Atlas,90.0,1.0,0.2098,false_negative,,,
L000227,2023-08-01,0,218468.77,<620,IL,Atlas,82.0,1.0,0.0965,false_negative,,,
L000092,2023-08-01,0,164312.56,680-739,CA,Beacon,58.0,1.0,0.0164,false_negative,,,
L000647,2023-08-01,0,443460.71,740+,TX,Atlas,90.0,1.0,0.1213,false_negative,,,
L000843,2023-08-01,30,265463.46,680-739,CA,Beacon,72.0,1.0,0.1516,false_negative,,,
L000577,2023-08-01,0,340740.09,680-739,IL,Atlas,82.0,1.0,0.1766,false_negative,,,
L000878,2023-08-01,0,,620-679,WA,Cedar,86.6,1.0,0.0869,false_negative,,,
L000288,2023-08-01,0,251092.23,620-679,TX,Atlas,90.0,1.0,0.0354,false_negative,,,
L000286,2023-08-01,0,412574.31,<620,WA,Cedar,90.0,1.0,0.2646,false_negative,,,
L000593,2023-08-01,0,154712.18,<620,CA,Beacon,90.0,1.0,0.0702,false_negative,,,
L000666,2023-08-01,0,425712.89,680-739,CA,Cedar,80.0,1.0,0.1758,false_negative,,,
L000354,2023-08-01,30,624712.56,620-679,IL,Atlas,90.0,1.0,0.4125,false_negative,,,
L000466,2023-08-01,0,241001.0,680-739,IL,Cedar,90.0,1.0,0.0793,false_negative,,,
L000362,2023-08-01,0,350717.82,620-679,FL,Beacon,90.0,1.0,0.2453,false_negative,,,
L000137,2023-08-01,0,139187.85,740+,GA,Atlas,82.0,1.0,0.1182,false_negative,,,
L000732,2023-08-01,0,183236.28,680-739,FL,Cedar,90.0,1.0,0.0258,false_negative,,,
L001083,2023-08-01,0,526010.59,740+,TX,Cedar,90.0,1.0,0.0179,false_negative,,,
L001076,2023-08-01,0,589763.88,<620,NY,Beacon,82.0,1.0,0.242,false_negative,,,
L000980,2023-08-01,0,247860.51,<620,IL,Beacon,72.0,1.0,0.3325,false_negative,,,
L000006,2023-08-01,30,592373.71,<620,NY,Atlas,90.0,1.0,0.2913,false_negative,,,
L001072,2023-08-01,0,253506.76,620-679,TX,Beacon,82.0,1.0,0.1087,false_negative,,,
L000394,2023-08-01,0,148358.63,680-739,WA,Cedar,64.0,1.0,0.0275,false_negative,,,
L000396,2023-08-01,0,275489.76,740+,GA,Beacon,82.0,1.0,0.0408,false_negative,,,
L000978,2023-08-01,0,484009.13,<620,NY,Cedar,90.0,1.0,0.2015,false_negative,,,
L000952,2023-08-01,0,607985.36,<620,GA,Beacon,72.0,1.0,0.0277,false_negative,,,
L000141,2023-08-01,30,141810.89,680-739,GA,Atlas,90.0,1.0,0.0883,false_negative,,,
L000334,2023-08-01,90,529328.84,680-739,TX,Atlas,80.0,1.0,0.3512,false_negative,,,
L000179,2023-08-01,0,517599.02,740+,IL,Cedar,90.0,1.0,0.0774,false_negative,,,
L000322,2023-08-01,0,136448.29,620-679,GA,Beacon,90.0,1.0,0.2331,false_negative,,,
L000428,2023-09-01,0,397131.73,740+,TX,Atlas,82.0,0.0,0.52,false_positive,,,
L000315,2023-09-01,0,385487.73,680-739,IL,Atlas,80.0,1.0,0.1682,false_negative,,,
L000958,2023-09-01,45,214135.82,680-739,NY,Beacon,78.0,1.0,0.0404,false_negative,,,
L000047,2023-09-01,0,199820.87,<620,NY,Beacon,90.0,1.0,0.0604,false_negative,,,
L000038,2023-09-01,0,426967.89,<620,CA,Beacon,90.0,1.0,0.0185,false_negative,,,
L000235,2023-09-01,0,214305.01,680-739,FL,Cedar,90.0,1.0,0.2031,false_negative,,,
L001072,2023-09-01,0,251874.97,620-679,TX,Beacon,82.0,1.0,0.1408,false_negative,,,
L000394,2023-09-01,0,141825.75,680-739,WA,Cedar,64.0,1.0,0.0366,false_negative,,,
L000512,2023-09-01,0,620877.2,<620,IL,Beacon,82.0,1.0,0.0634,false_negative,,,
L001076,2023-09-01,30,586042.81,<620,NY,Beacon,82.0,1.0,0.2972,false_negative,,,
L000937,2023-09-01,0,613735.97,<620,NY,Atlas,90.0,1.0,0.0707,false_negative,,,
L001083,2023-09-01,0,524595.69,740+,TX,Cedar,90.0,1.0,0.0165,false_negative,,,
L000887,2023-09-01,0,435494.49,680-739,TX,Beacon,90.0,1.0,0.0605,false_negative,,,
L000564,2023-09-01,0,473316.48,680-739,TX,Atlas,82.0,1.0,0.0717,false_negative,,,
L000354,2023-09-01,0,622934.43,620-679,IL,Atlas,90.0,1.0,0.2145,false_negative,,,
L000553,2023-09-01,30,73819.82,<620,TX,Beacon,74.0,1.0,0.4745,false_negative,,,
L000053,2023-09-01,0,388531.32,620-679,FL,Atlas,82.0,1.0,0.1155,false_negative,,,
L000449,2023-09-01,0,316073.22,680-739,CA,Atlas,90.0,1.0,0.1107,false_negative,,,
L000587,2023-09-01,0,239791.75,680-739,WA,Atlas,90.0,1.0,0.0175,false_negative,,,
L000269,2023-09-01,0,197517.06,620-679,GA,Atlas,90.0,1.0,0.1788,false_negative,,,
L000878,2023-09-01,0,562416.21,620-679,WA,Cedar,90.0,1.0,0.1548,false_negative,,,
L000577,2023-09-01,0,339289.45,680-739,IL,Atlas,82.0,1.0,0.2357,false_negative,,,
L000460,2023-09-01,0,210076.24,680-739,GA,Cedar,90.0,1.0,0.02,false_negative,,,
L001045,2023-09-01,0,143204.99,740+,TX,Beacon,82.0,1.0,0.0636,false_negative,,,
L000817,2023-09-01,30,276589.39,<620,WA,Beacon,82.0,0.0,0.557,false_positive,,,
L001019,2023-09-01,0,444078.96,740+,CA,Cedar,82.0,1.0,0.0486,false_negative,,,
L000826,2023-09-01,0,439026.92,620-679,CA,Beacon,90.0,1.0,0.1323,false_negative,,,
L000733,2023-09-01,45,199904.39,740+,WA,Beacon,70.0,1.0,0.0825,false_negative,,,
L000667,2023-09-01,0,619088.13,740+,CA,Atlas,90.0,1.0,0.1166,false_negative,,,
L000771,2023-09-01,30,449896.65,620-679,CA,Cedar,90.0,1.0,0.253,false_negative,,,
L000186,2023-09-01,0,286900.86,620-679,FL,Cedar,90.0,1.0,0.0654,false_negative,,,
L000187,2023-09-01,90,509973.96,740+,WA,Atlas,70.0,0.0,0.5586,false_positive,,,
L001025,2023-09-01,0,157940.14,740+,CA,Beacon,90.0,1.0,0.1903,false_negative,,,
L000700,2023-09-01,0,490023.05,740+,TX,Beacon,90.0,1.0,0.0109,false_negative,,,
L000227,2023-09-01,0,217567.62,<620,IL,Atlas,82.0,1.0,0.051,false_negative,,,
L000680,2023-09-01,0,433493.06,620-679,TX,Beacon,90.0,1.0,0.1002,false_negative,,,
L000768,2023-09-01,0,290736.88,620-679,IL,Atlas,82.0,1.0,0.1224,false_negative,,,
L000745,2023-09-01,0,314434.69,740+,WA,Beacon,90.0,1.0,0.0199,false_negative,,,
L000207,2023-09-01,0,579684.97,620-679,NY,Beacon,82.0,1.0,0.0326,false_negative,,,
L000807,2023-09-01,0,328599.01,<620,IL,Cedar,90.0,1.0,0.1288,false_negative,,,
L000200,2023-09-01,0,445642.23,740+,FL,Beacon,82.0,1.0,0.0111,false_negative,,,
L001122,2023-09-01,0,207427.22,680-739,GA,Beacon,82.0,1.0,0.0317,false_negative,,,
L001048,2023-10-01,0,420423.79,620-679,IL,Atlas,90.0,1.0,0.0841,false_negative,,,
L000700,2023-10-01,0,488876.88,740+,TX,Beacon,90.0,1.0,0.0118,false_negative,,,
L001076,2023-10-01,0,581460.38,<620,NY,Beacon,82.0,1.0,0.1478,false_negative,,,
L000428,2023-10-01,0,395382.03,740+,TX,Atlas,82.0,0.0,0.5016,false_positive,,,
L000544,2023-10-01,0,388275.89,680-739,IL,Beacon,90.0,1.0,0.0733,false_negative,,,
L000551,2023-10-01,0,,680-739,WA,Beacon,69.1,1.0,0.0202,false_negative,,,
L000962,2023-10-01,30,94291.48,620-679,FL,Atlas,80.0,1.0,0.1077,false_negative,,,
L000533,2023-10-01,0,316241.79,680-739,GA,Cedar,90.0,1.0,0.0501,false_negative,,,
L000564,2023-10-01,0,471029.4,680-739,TX,Atlas,82.0,1.0,0.0944,false_negative,,,
L000286,2023-10-01,0,410063.84,<620,WA,Cedar,90.0,1.0,0.2021,false_negative,,,
