target,feature,permutation_importance,importance_std
exception_required,document_status,0.262401,0.008047
exception_required,dti_numeric,0.128406,0.007408
exception_required,original_balance,0.122827,0.002541
exception_required,interest_rate,0.079204,0.00292
exception_required,current_balance,0.073675,0.004123
exception_required,ltv_numeric,0.055117,0.002499
exception_required,state,0.034237,0.004575
exception_required,loan_purpose,0.025378,0.004742
exception_required,credit_score_numeric,0.024281,0.000291
exception_required,remaining_term_months,0.018424,0.001819
exception_required,occupancy_type,0.015921,0.000687
exception_required,credit_score_band,0.011896,0.002012
exception_required,property_type,0.011051,0.001092
exception_required,servicer_name,0.008648,0.001062
exception_required,current_status,0.00402,0.003041
exception_required,dti_band,0.003784,0.000518
exception_required,balance_ratio,0.003536,0.002596
exception_required,ltv_band,0.003015,0.000683
exception_required,term_ratio,0.000884,0.000582
exception_required,loan_age_months,0.000351,0.001049
exception_required,days_past_due,0.000314,0.000432
exception_required,source_system,0.0,0.0
exception_required,vintage_year,0.0,0.0
exception_required,ever_dpd,-0.000236,0.000599
exception_required,dpd_velocity,-0.001883,0.000385
exception_required,paydown_rate,-0.003,0.000302
next_12m_default_flag,dti_numeric,0.29681,0.029768
next_12m_default_flag,interest_rate,0.286287,0.006825
next_12m_default_flag,original_balance,0.261429,0.005232
next_12m_default_flag,current_status,0.198222,0.014994
next_12m_default_flag,credit_score_numeric,0.174952,0.002175
next_12m_default_flag,ltv_numeric,0.096286,0.01046
next_12m_default_flag,loan_purpose,0.094113,0.007919
next_12m_default_flag,state,0.068479,0.006327
next_12m_default_flag,remaining_term_months,0.03078,0.004304
next_12m_default_flag,current_balance,0.025461,0.006167
next_12m_default_flag,servicer_name,0.018687,0.002064
next_12m_default_flag,occupancy_type,0.007836,0.002096
next_12m_default_flag,ltv_band,0.007342,0.001151
next_12m_default_flag,property_type,0.005641,0.001577
next_12m_default_flag,credit_score_band,0.002915,0.000221
next_12m_default_flag,ever_dpd,0.002091,0.000853
next_12m_default_flag,balance_ratio,0.002018,0.000611
next_12m_default_flag,days_past_due,0.000939,1.3e-05
next_12m_default_flag,dti_band,0.000932,0.000165
next_12m_default_flag,term_ratio,0.000798,0.000162
next_12m_default_flag,paydown_rate,0.000118,0.000171
next_12m_default_flag,document_status,0.000112,8.9e-05
next_12m_default_flag,source_system,0.0,0.0
next_12m_default_flag,vintage_year,0.0,0.0
next_12m_default_flag,dpd_velocity,-0.000239,6.5e-05
next_12m_default_flag,loan_age_months,-0.000443,0.000151
next_12m_prepayment_flag,dti_numeric,0.363211,0.006942
next_12m_prepayment_flag,interest_rate,0.209234,0.003397
next_12m_prepayment_flag,original_balance,0.194356,0.005574
next_12m_prepayment_flag,ltv_numeric,0.138949,0.007418
next_12m_prepayment_flag,credit_score_numeric,0.116941,0.01069
next_12m_prepayment_flag,state,0.093242,0.010304
next_12m_prepayment_flag,days_past_due,0.049718,0.010865
next_12m_prepayment_flag,current_balance,0.033675,0.003761
next_12m_prepayment_flag,servicer_name,0.026023,0.001142
next_12m_prepayment_flag,remaining_term_months,0.02491,0.002895
next_12m_prepayment_flag,property_type,0.023542,0.003338
next_12m_prepayment_flag,loan_purpose,0.019685,0.001651
next_12m_prepayment_flag,credit_score_band,0.018992,0.003769
next_12m_prepayment_flag,occupancy_type,0.013643,0.002734
next_12m_prepayment_flag,ever_dpd,0.006473,0.000568
next_12m_prepayment_flag,ltv_band,0.006209,0.000798
next_12m_prepayment_flag,dti_band,0.004738,0.000859
next_12m_prepayment_flag,balance_ratio,0.002772,0.001663
next_12m_prepayment_flag,loan_age_months,0.001823,0.000347
next_12m_prepayment_flag,current_status,0.001118,0.000453
next_12m_prepayment_flag,paydown_rate,0.000209,0.000248
next_12m_prepayment_flag,document_status,0.00018,0.000195
next_12m_prepayment_flag,source_system,0.0,0.0
next_12m_prepayment_flag,vintage_year,0.0,0.0
next_12m_prepayment_flag,dpd_velocity,-0.000199,0.000249
next_12m_prepayment_flag,term_ratio,-0.000583,0.000427
next_3m_delinquency_flag,current_status,0.100846,0.016023
next_3m_delinquency_flag,dti_numeric,0.049472,0.003675
next_3m_delinquency_flag,ltv_numeric,0.040303,0.007728
next_3m_delinquency_flag,credit_score_numeric,0.028971,0.001598
next_3m_delinquency_flag,state,0.022026,0.005855
next_3m_delinquency_flag,original_balance,0.021705,0.010535
next_3m_delinquency_flag,interest_rate,0.01975,0.006492
next_3m_delinquency_flag,remaining_term_months,0.019597,0.003722
next_3m_delinquency_flag,current_balance,0.019008,0.006655
