target,segment,segment_value,n,event_rate,predicted_positive_rate,fpr,fnr,mean_predicted_probability
next_12m_default_flag,credit_score_band,620-679,2647,0.0782,0.0378,0.0196,0.0601,0.0995
next_12m_default_flag,credit_score_band,680-739,2750,0.0462,0.008,0.0022,0.0404,0.0455
next_12m_default_flag,credit_score_band,740+,3456,0.02,0.0041,0.0006,0.0165,0.0342
next_12m_default_flag,credit_score_band,<620,1780,0.1,0.0624,0.0376,0.0753,0.1594
next_12m_default_flag,state,CA,1580,0.0468,0.0228,0.0171,0.0411,0.0763
next_12m_default_flag,state,FL,1511,0.0602,0.0324,0.0185,0.0463,0.074
next_12m_default_flag,state,GA,1498,0.0447,0.014,0.0073,0.0381,0.0735
next_12m_default_flag,state,IL,1623,0.0795,0.0345,0.0166,0.0616,0.0948
next_12m_default_flag,state,NY,1570,0.0229,0.0185,0.0172,0.0217,0.0682
next_12m_default_flag,state,TX,1294,0.0719,0.0286,0.0031,0.0464,0.0815
next_12m_default_flag,state,WA,1557,0.0584,0.0122,0.0019,0.0482,0.0525
next_3m_delinquency_flag,credit_score_band,620-679,2647,0.0895,0.0,0.0,0.0895,0.0845
next_3m_delinquency_flag,credit_score_band,680-739,2750,0.0713,0.0015,0.0015,0.0713,0.0576
next_3m_delinquency_flag,credit_score_band,740+,3456,0.0451,0.0029,0.0026,0.0448,0.0619
next_3m_delinquency_flag,credit_score_band,<620,1780,0.0921,0.0039,0.0039,0.0921,0.0922
next_3m_delinquency_flag,state,CA,1580,0.069,0.0032,0.0032,0.069,0.078
next_3m_delinquency_flag,state,FL,1511,0.0609,0.002,0.002,0.0609,0.0654
next_3m_delinquency_flag,state,GA,1498,0.0701,0.0,0.0,0.0701,0.0654
next_3m_delinquency_flag,state,IL,1623,0.0986,0.0,0.0,0.0986,0.102
next_3m_delinquency_flag,state,NY,1570,0.0382,0.0,0.0,0.0382,0.0517
next_3m_delinquency_flag,state,TX,1294,0.092,0.0031,0.0023,0.0912,0.0701
next_3m_delinquency_flag,state,WA,1557,0.0694,0.0058,0.0058,0.0694,0.0657
