month,at_risk,default_events,prepay_events,censored_this_month,km_survival,km_survival_ci_low,km_survival_ci_high,cif_default,cif_default_ci_low,cif_default_ci_high,cif_prepay,cif_prepay_ci_low,cif_prepay_ci_high,naive_default_rate,naive_prepay_rate,markov_default,markov_prepay
1,1132,6,16,1,0.98057,0.97236,0.98877,0.0053,0.0,0.0257,0.01413,0.0,0.07488,0.03913,0.15364,0.00412,0.03056
2,1109,3,30,4,0.95139,0.93822,0.96456,0.00795,0.0,0.02836,0.04066,0.0,0.1014,0.03913,0.15364,0.01108,0.0594
3,1072,2,18,7,0.93364,0.91809,0.94918,0.00973,0.0,0.03013,0.05663,0.0,0.11738,0.03913,0.15364,0.0183,0.087
4,1045,3,15,9,0.91756,0.90006,0.93505,0.01241,0.0,0.03281,0.07004,0.0093,0.13078,0.03913,0.15364,0.02533,0.11352
5,1018,4,14,5,0.90133,0.88199,0.92067,0.01601,0.0,0.03642,0.08265,0.02191,0.1434,0.03913,0.15364,0.03213,0.13902
6,995,5,13,7,0.88503,0.86393,0.90612,0.02054,0.00014,0.04095,0.09443,0.03369,0.15517,0.03913,0.15364,0.03869,0.16356
7,970,8,19,11,0.86039,0.83676,0.88402,0.02784,0.00744,0.04825,0.11177,0.05103,0.17251,0.03913,0.15364,0.045,0.18718
8,932,3,16,9,0.84285,0.81747,0.86823,0.03061,0.01021,0.05102,0.12654,0.0658,0.18728,0.03913,0.15364,0.05107,0.20992
9,904,5,19,6,0.82047,0.7929,0.84805,0.03527,0.01487,0.05568,0.14425,0.08351,0.20499,0.03913,0.15364,0.05692,0.2318
10,874,2,17,15,0.80264,0.77335,0.83193,0.03715,0.01675,0.05756,0.16021,0.09947,0.22095,0.03913,0.15364,0.06255,0.25286
11,840,8,15,30,0.78066,0.74925,0.81207,0.04479,0.02439,0.0652,0.17454,0.1138,0.23528,0.03913,0.15364,0.06796,0.27313
12,787,6,22,71,0.75289,0.71873,0.78704,0.05075,0.03034,0.07115,0.19637,0.13563,0.25711,0.03913,0.15364,0.07318,0.29264
13,688,4,10,59,0.73757,0.70175,0.77338,0.05512,0.03472,0.07553,0.20731,0.14657,0.26805,0.03913,0.15364,0.07819,0.31141
14,615,3,15,65,0.71598,0.67763,0.75433,0.05872,0.03832,0.07913,0.2253,0.16456,0.28604,0.03913,0.15364,0.08302,0.32949
15,532,4,8,58,0.69983,0.65936,0.7403,0.06411,0.0437,0.08451,0.23607,0.17532,0.29681,0.03913,0.15364,0.08767,0.34688
16,462,4,9,48,0.68014,0.6368,0.72348,0.07016,0.04976,0.09057,0.2497,0.18896,0.31044,0.03913,0.15364,0.09215,0.36362
17,401,3,7,67,0.66318,0.6171,0.70926,0.07525,0.05485,0.09566,0.26157,0.20083,0.32231,0.03913,0.15364,0.09645,0.37974
18,324,0,8,46,0.6468,0.59757,0.69603,0.07525,0.05485,0.09566,0.27795,0.21721,0.33869,0.03913,0.15364,0.1006,0.39524
19,270,1,3,73,0.63722,0.58586,0.68858,0.07765,0.05724,0.09805,0.28513,0.22439,0.34587,0.03913,0.15364,0.10459,0.41017
20,193,2,6,58,0.61081,0.55166,0.66995,0.08425,0.06385,0.10466,0.30494,0.2442,0.36568,0.03913,0.15364,0.10842,0.42454
21,127,0,6,54,0.58195,0.51125,0.65265,0.08425,0.06385,0.10466,0.3338,0.27306,0.39454,0.03913,0.15364,0.11212,0.43837
22,67,0,2,33,0.56458,0.48234,0.64681,0.08425,0.06385,0.10466,0.35117,0.29043,0.41191,0.03913,0.15364,0.11568,0.45168
23,32,0,1,31,0.54693,0.44381,0.65006,0.08425,0.06385,0.10466,0.36881,0.30807,0.42956,0.03913,0.15364,0.1191,0.46448
24,0,0,0,0,0.54693,0.44381,0.65006,0.08425,0.06385,0.10466,0.36881,0.30807,0.42956,0.03913,0.15364,0.12239,0.47681
