target,row,loan_id,feature,value,top_3,method,direction
next_3m_delinquency_flag,0,L000161,dti_numeric,1.418,"dti_numeric, paydown_rate, interest_rate",deviation_rank,unknown
next_3m_delinquency_flag,1,L000623,remaining_term_months,15.378,"remaining_term_months, dti_numeric, paydown_rate",deviation_rank,unknown
next_3m_delinquency_flag,2,L000678,term_ratio,1.799,"term_ratio, remaining_term_months, loan_age_months",deviation_rank,unknown
next_3m_delinquency_flag,3,L000342,dti_numeric,1.806,"dti_numeric, interest_rate, paydown_rate",deviation_rank,unknown
next_3m_delinquency_flag,4,L001031,interest_rate,1.18,"interest_rate, term_ratio, loan_age_months",deviation_rank,unknown
next_3m_delinquency_flag,5,L001111,dti_numeric,0.995,"dti_numeric, current_balance, paydown_rate",deviation_rank,unknown
next_3m_delinquency_flag,6,L000714,remaining_term_months,14.974,"remaining_term_months, loan_age_months, interest_rate",deviation_rank,unknown
next_3m_delinquency_flag,7,L000360,dti_numeric,0.743,"dti_numeric, paydown_rate, remaining_term_months",deviation_rank,unknown
next_3m_delinquency_flag,8,L001112,dti_numeric,0.743,"dti_numeric, ltv_numeric, remaining_term_months",deviation_rank,unknown
next_3m_delinquency_flag,9,L000727,interest_rate,0.843,"interest_rate, dti_numeric, ltv_numeric",deviation_rank,unknown
next_3m_delinquency_flag,10,L000904,remaining_term_months,15.378,"remaining_term_months, dti_numeric, paydown_rate",deviation_rank,unknown
next_3m_delinquency_flag,11,L000410,term_ratio,2.023,"term_ratio, remaining_term_months, interest_rate",deviation_rank,unknown
next_3m_delinquency_flag,12,L000464,remaining_term_months,24.012,"remaining_term_months, term_ratio, dti_numeric",deviation_rank,unknown
next_3m_delinquency_flag,13,L000215,remaining_term_months,22.933,"remaining_term_months, dti_numeric, interest_rate",deviation_rank,unknown
next_3m_delinquency_flag,14,L000300,term_ratio,1.574,"term_ratio, remaining_term_months, loan_age_months",deviation_rank,unknown
next_3m_delinquency_flag,15,L000286,interest_rate,1.518,"interest_rate, ltv_numeric, dti_numeric",deviation_rank,unknown
next_3m_delinquency_flag,16,L000310,interest_rate,1.518,"interest_rate, dti_numeric, paydown_rate",deviation_rank,unknown
next_3m_delinquency_flag,17,L000238,dti_numeric,1.772,"dti_numeric, interest_rate, remaining_term_months",deviation_rank,unknown
next_3m_delinquency_flag,18,L000323,interest_rate,1.518,"interest_rate, dti_numeric, term_ratio",deviation_rank,unknown
next_3m_delinquency_flag,19,L000305,term_ratio,1.799,"term_ratio, remaining_term_months, loan_age_months",deviation_rank,unknown
next_3m_delinquency_flag,20,L000452,dti_numeric,0.572,"dti_numeric, paydown_rate, balance_ratio",deviation_rank,unknown
next_3m_delinquency_flag,21,L000284,remaining_term_months,16.188,"remaining_term_months, term_ratio, dti_numeric",deviation_rank,unknown
next_3m_delinquency_flag,22,L000730,loan_age_months,1.349,"loan_age_months, ltv_numeric, dti_numeric",deviation_rank,unknown
next_3m_delinquency_flag,23,L000677,remaining_term_months,16.188,"remaining_term_months, term_ratio, interest_rate",deviation_rank,unknown
next_3m_delinquency_flag,24,L001127,remaining_term_months,16.458,"remaining_term_months, term_ratio, loan_age_months",deviation_rank,unknown
next_6m_delinquency_flag,0,L000161,paydown_rate,1.9,"paydown_rate, dti_numeric, credit_score_numeric",deviation_rank,unknown
next_6m_delinquency_flag,1,L000623,remaining_term_months,15.378,"remaining_term_months, dti_numeric, loan_age_months",deviation_rank,unknown
next_6m_delinquency_flag,2,L000678,loan_age_months,2.361,"loan_age_months, credit_score_numeric, original_balance",deviation_rank,unknown
next_6m_delinquency_flag,3,L000342,dti_numeric,1.806,"dti_numeric, ltv_numeric, credit_score_numeric",deviation_rank,unknown
next_6m_delinquency_flag,4,L001031,loan_age_months,2.361,"loan_age_months, interest_rate, credit_score_numeric",deviation_rank,unknown
next_6m_delinquency_flag,5,L001111,ltv_numeric,1.289,"ltv_numeric, dti_numeric, original_balance",deviation_rank,unknown
next_6m_delinquency_flag,6,L000714,remaining_term_months,14.974,"remaining_term_months, loan_age_months, interest_rate",deviation_rank,unknown
next_6m_delinquency_flag,7,L000360,dti_numeric,0.743,"dti_numeric, paydown_rate, ltv_numeric",deviation_rank,unknown
next_6m_delinquency_flag,8,L001112,ltv_numeric,3.04,"ltv_numeric, credit_score_numeric, original_balance",deviation_rank,unknown
next_6m_delinquency_flag,9,L000727,ltv_numeric,2.517,"ltv_numeric, interest_rate, original_balance",deviation_rank,unknown
next_6m_delinquency_flag,10,L000904,remaining_term_months,15.378,"remaining_term_months, dti_numeric, credit_score_numeric",deviation_rank,unknown
next_6m_delinquency_flag,11,L000410,ltv_numeric,2.436,"ltv_numeric, loan_age_months, original_balance",deviation_rank,unknown
next_6m_delinquency_flag,12,L000464,remaining_term_months,24.012,"remaining_term_months, original_balance, balance_ratio",deviation_rank,unknown
next_6m_delinquency_flag,13,L000215,remaining_term_months,22.933,"remaining_term_months, dti_numeric, loan_age_months",deviation_rank,unknown
next_6m_delinquency_flag,14,L000300,credit_score_numeric,1.105,"credit_score_numeric, loan_age_months, original_balance",deviation_rank,unknown
next_6m_delinquency_flag,15,L000286,ltv_numeric,4.631,"ltv_numeric, interest_rate, credit_score_numeric",deviation_rank,unknown
next_6m_delinquency_flag,16,L000310,interest_rate,1.518,"interest_rate, original_balance, credit_score_numeric",deviation_rank,unknown
next_6m_delinquency_flag,17,L000238,dti_numeric,1.772,"dti_numeric, interest_rate, ltv_numeric",deviation_rank,unknown
next_6m_delinquency_flag,18,L000323,ltv_numeric,3.614,"ltv_numeric, dti_numeric, interest_rate",deviation_rank,unknown
next_6m_delinquency_flag,19,L000305,ltv_numeric,2.557,"ltv_numeric, loan_age_months, dti_numeric",deviation_rank,unknown
next_6m_delinquency_flag,20,L000452,balance_ratio,1.65,"balance_ratio, dti_numeric, paydown_rate",deviation_rank,unknown
next_6m_delinquency_flag,21,L000284,remaining_term_months,16.188,"remaining_term_months, ltv_numeric, credit_score_numeric",deviation_rank,unknown
next_6m_delinquency_flag,22,L000730,ltv_numeric,3.03,"ltv_numeric, loan_age_months, dti_numeric",deviation_rank,unknown
next_6m_delinquency_flag,23,L000677,remaining_term_months,16.188,"remaining_term_months, interest_rate, credit_score_numeric",deviation_rank,unknown
next_6m_delinquency_flag,24,L001127,remaining_term_months,16.458,"remaining_term_months, original_balance, balance_ratio",deviation_rank,unknown
next_12m_default_flag,0,L000161,paydown_rate,1.9,"paydown_rate, dti_numeric, credit_score_numeric",deviation_rank,unknown
next_12m_default_flag,1,L000623,remaining_term_months,15.378,"remaining_term_months, loan_age_months, dti_numeric",deviation_rank,unknown
next_12m_default_flag,2,L000678,loan_age_months,2.361,"loan_age_months, remaining_term_months, credit_score_numeric",deviation_rank,unknown
next_12m_default_flag,3,L000342,ltv_numeric,1.963,"ltv_numeric, dti_numeric, paydown_rate",deviation_rank,unknown
next_12m_default_flag,4,L001031,loan_age_months,2.361,"loan_age_months, term_ratio, interest_rate",deviation_rank,unknown
next_12m_default_flag,5,L001111,balance_ratio,1.468,"balance_ratio, ltv_numeric, current_balance",deviation_rank,unknown
next_12m_default_flag,6,L000714,remaining_term_months,14.974,"remaining_term_months, loan_age_months, balance_ratio",deviation_rank,unknown
next_12m_default_flag,7,L000360,paydown_rate,0.893,"paydown_rate, dti_numeric, ltv_numeric",deviation_rank,unknown
next_12m_default_flag,8,L001112,ltv_numeric,3.04,"ltv_numeric, current_balance, credit_score_numeric",deviation_rank,unknown
next_12m_default_flag,9,L000727,ltv_numeric,2.517,"ltv_numeric, current_balance, interest_rate",deviation_rank,unknown
next_12m_default_flag,10,L000904,remaining_term_months,15.378,"remaining_term_months, dti_numeric, loan_age_months",deviation_rank,unknown
next_12m_default_flag,11,L000410,loan_age_months,2.698,"loan_age_months, ltv_numeric, term_ratio",deviation_rank,unknown
next_12m_default_flag,12,L000464,remaining_term_months,24.012,"remaining_term_months, term_ratio, balance_ratio",deviation_rank,unknown
next_12m_default_flag,13,L000215,remaining_term_months,22.933,"remaining_term_months, loan_age_months, dti_numeric",deviation_rank,unknown
next_12m_default_flag,14,L000300,loan_age_months,2.023,"loan_age_months, term_ratio, credit_score_numeric",deviation_rank,unknown
next_12m_default_flag,15,L000286,ltv_numeric,4.631,"ltv_numeric, interest_rate, credit_score_numeric",deviation_rank,unknown
next_12m_default_flag,16,L000310,interest_rate,1.518,"interest_rate, current_balance, original_balance",deviation_rank,unknown
next_12m_default_flag,17,L000238,dti_numeric,1.772,"dti_numeric, interest_rate, ltv_numeric",deviation_rank,unknown
next_12m_default_flag,18,L000323,ltv_numeric,3.614,"ltv_numeric, loan_age_months, interest_rate",deviation_rank,unknown
next_12m_default_flag,19,L000305,ltv_numeric,2.557,"ltv_numeric, loan_age_months, term_ratio",deviation_rank,unknown
next_12m_default_flag,20,L000452,balance_ratio,1.65,"balance_ratio, paydown_rate, dti_numeric",deviation_rank,unknown
next_12m_default_flag,21,L000284,remaining_term_months,16.188,"remaining_term_months, ltv_numeric, term_ratio",deviation_rank,unknown
next_12m_default_flag,22,L000730,ltv_numeric,3.03,"ltv_numeric, loan_age_months, term_ratio",deviation_rank,unknown
next_12m_default_flag,23,L000677,remaining_term_months,16.188,"remaining_term_months, term_ratio, interest_rate",deviation_rank,unknown
next_12m_default_flag,24,L001127,remaining_term_months,16.458,"remaining_term_months, term_ratio, loan_age_months",deviation_rank,unknown
next_12m_prepayment_flag,0,L000161,paydown_rate,1.9,"paydown_rate, dti_numeric, interest_rate",deviation_rank,unknown
next_12m_prepayment_flag,1,L000623,remaining_term_months,15.378,"remaining_term_months, dti_numeric, ltv_numeric",deviation_rank,unknown
next_12m_prepayment_flag,2,L000678,term_ratio,1.799,"term_ratio, credit_score_numeric, dti_numeric",deviation_rank,unknown
next_12m_prepayment_flag,3,L000342,ltv_numeric,1.963,"ltv_numeric, dti_numeric, credit_score_numeric",deviation_rank,unknown
next_12m_prepayment_flag,4,L001031,interest_rate,1.18,"interest_rate, term_ratio, credit_score_numeric",deviation_rank,unknown
next_12m_prepayment_flag,5,L001111,ltv_numeric,1.289,"ltv_numeric, dti_numeric, balance_ratio",deviation_rank,unknown
next_12m_prepayment_flag,6,L000714,remaining_term_months,14.974,"remaining_term_months, interest_rate, balance_ratio",deviation_rank,unknown
next_12m_prepayment_flag,7,L000360,ltv_numeric,0.715,"ltv_numeric, dti_numeric, paydown_rate",deviation_rank,unknown
next_12m_prepayment_flag,8,L001112,ltv_numeric,3.04,"ltv_numeric, dti_numeric, credit_score_numeric",deviation_rank,unknown
next_12m_prepayment_flag,9,L000727,ltv_numeric,2.517,"ltv_numeric, interest_rate, dti_numeric",deviation_rank,unknown
next_12m_prepayment_flag,10,L000904,remaining_term_months,15.378,"remaining_term_months, dti_numeric, paydown_rate",deviation_rank,unknown
next_12m_prepayment_flag,11,L000410,ltv_numeric,2.436,"ltv_numeric, term_ratio, interest_rate",deviation_rank,unknown
next_12m_prepayment_flag,12,L000464,remaining_term_months,24.012,"remaining_term_months, term_ratio, balance_ratio",deviation_rank,unknown
next_12m_prepayment_flag,13,L000215,remaining_term_months,22.933,"remaining_term_months, dti_numeric, interest_rate",deviation_rank,unknown
next_12m_prepayment_flag,14,L000300,term_ratio,1.574,"term_ratio, credit_score_numeric, ltv_numeric",deviation_rank,unknown
next_12m_prepayment_flag,15,L000286,ltv_numeric,4.631,"ltv_numeric, interest_rate, credit_score_numeric",deviation_rank,unknown
next_12m_prepayment_flag,16,L000310,interest_rate,1.518,"interest_rate, credit_score_numeric, paydown_rate",deviation_rank,unknown
next_12m_prepayment_flag,17,L000238,dti_numeric,1.772,"dti_numeric, interest_rate, ltv_numeric",deviation_rank,unknown
next_12m_prepayment_flag,18,L000323,ltv_numeric,3.614,"ltv_numeric, interest_rate, dti_numeric",deviation_rank,unknown
next_12m_prepayment_flag,19,L000305,ltv_numeric,2.557,"ltv_numeric, term_ratio, dti_numeric",deviation_rank,unknown
next_12m_prepayment_flag,20,L000452,balance_ratio,1.65,"balance_ratio, dti_numeric, paydown_rate",deviation_rank,unknown
next_12m_prepayment_flag,21,L000284,ltv_numeric,2.547,"ltv_numeric, remaining_term_months, term_ratio",deviation_rank,unknown
next_12m_prepayment_flag,22,L000730,ltv_numeric,3.03,"ltv_numeric, dti_numeric, term_ratio",deviation_rank,unknown
next_12m_prepayment_flag,23,L000677,remaining_term_months,16.188,"remaining_term_months, term_ratio, interest_rate",deviation_rank,unknown
next_12m_prepayment_flag,24,L001127,remaining_term_months,16.458,"remaining_term_months, term_ratio, balance_ratio",deviation_rank,unknown
exception_required,0,L000161,paydown_rate,1.9,"paydown_rate, dti_numeric, credit_score_numeric",deviation_rank,unknown
