loan_id,reporting_month,origination_month,month_index,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,credit_score,ltv,servicer_name,current_status,days_past_due,document_status,last_updated_at,source_system,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,next_state,exception_type,exception_required,credit_score_band,ltv_band,dti,dti_band,state,loan_purpose,occupancy_type,property_type,term_months,vintage,credit_score_numeric,ltv_numeric,dti_numeric,balance_ratio,term_ratio,dpd_velocity,ever_dpd,paydown_rate,vintage_year,next_3m_delinquency_prob,next_6m_delinquency_prob,next_12m_default_prob,next_12m_prepayment_prob,next_state_confidence,exception_type_confidence,anomaly_score,anomaly_reason,anomaly_drivers,data_quality_score,model_confidence,data_confidence,confidence,n_breaches,recommended_action,top_drivers
L000080,2025-02-01,2023-01-01,25,25,155,142108,-25.0,6.75,668,77.6,Cedar,Prepaid,0,complete,2025-02-19,core,,,,,prepaid,data_break,0.4175972505652585,620-679,81-100,45.3,44-50,GA,refinance,owner,sfr,180,2023,668,77.6,45.3,0.0,0.8611111111111112,0.0,0,1.0,2023,0.025338249794752517,0.03766556327101354,0.02010913768640293,0.38257549931426066,0.5676,0.4146,0.8569,negative_balance; outlier_remaining_term_months; outlier_balance_ratio,"{'rule_breaches': ['negative_balance', 'outlier_remaining_term_months', 'outlier_balance_ratio'], 'deviating_features': ['remaining_term_months', 'current_balance']}",47.7,0.767,0.477,0.68,5,escalate_human_review,negative_balance; outlier_remaining_term_months; outlier_balance_ratio
L000747,2025-06-01,2023-02-01,28,28,212,404621,-25.0,6.0,691,56.9,Beacon,Current,0,complete,2025-06-17,core,,,,,current,data_break,0.3628629645401464,680-739,61-80,26.6,21-35,GA,refinance,owner,sfr,240,2023,691,56.9,26.6,0.0,0.8833333333333333,0.0,0,1.0,2023,0.01796264824804404,0.022471234741932865,0.0032702146889729985,0.16121930288622724,0.68,0.4812,0.8569,negative_balance; outlier_remaining_term_months; outlier_balance_ratio,"{'rule_breaches': ['negative_balance', 'outlier_remaining_term_months', 'outlier_balance_ratio'], 'deviating_features': ['current_balance', 'loan_age_months']}",47.7,0.898,0.477,0.772,5,escalate_human_review,negative_balance; outlier_remaining_term_months; outlier_balance_ratio
L000995,2025-03-01,2023-11-01,16,16,224,237774,-24.39,4.75,660,80.2,Atlas,Current,0,pending,2025-03-14,core,,,,,current,data_break,0.2672558968516312,620-679,81-100,35.9,36-43,NY,purchase,owner,sfr,240,2023,660,80.2,35.9,0.0,0.9333333333333333,0.0,0,1.0,2023,0.10251263305202347,0.043032914880331875,0.07281027809046131,0.3227460876194906,0.6154,0.397,0.8569,negative_balance; outlier_remaining_term_months; outlier_balance_ratio,"{'rule_breaches': ['negative_balance', 'outlier_remaining_term_months', 'outlier_balance_ratio'], 'deviating_features': ['current_balance', 'remaining_term_months']}",47.7,0.729,0.477,0.653,5,escalate_human_review,negative_balance; outlier_remaining_term_months; outlier_balance_ratio
L000682,2025-05-01,2023-02-01,27,27,153,135180,128292.0,5.5,696,84.9,Atlas,Prepaid,0,complete,2025-05-13,core,,,,,prepaid,source_conflict,0.6518009714994945,680-739,81-100,29.6,21-35,GA,purchase,owner,sfr,180,2023,696,84.9,29.6,0.9490457168220151,0.85,0.0,1,-0.019622722425731234,2023,0.06283149671845233,0.050200285453503725,0.04587298621599565,0.3761488918037063,0.578,0.3917,0.8539,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'outlier_paydown_rate'], 'deviating_features': ['remaining_term_months', 'loan_age_months']}",48.7,0.732,0.487,0.658,5,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate
L000682,2025-04-01,2023-02-01,26,26,154,135180,125823.01,5.5,687,84.9,Atlas,Prepaid,0,pending,2025-04-15,core,,,,,prepaid,source_conflict,0.30895491326482677,680-739,81-100,29.6,21-35,GA,purchase,owner,sfr,180,2023,687,84.9,29.6,0.930781254623465,0.8555555555555555,0.0,1,-0.07759601975596822,2023,0.05914563449010187,0.03504215084888801,0.04762714151439371,0.40442141241052837,0.5768,0.3114,0.8539,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'outlier_paydown_rate'], 'deviating_features': ['remaining_term_months', 'loan_age_months']}",48.7,0.727,0.487,0.655,5,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate
L000163,2025-02-01,2023-10-01,16,16,164,513780,432063.23,5.25,736,63.9,Beacon,Prepaid,0,complete,2025-02-15,core,,,,,prepaid,none,0.17498825769749882,740+,61-80,31.7,21-35,NY,refinance,owner,sfr,180,2023,736,63.9,31.7,0.8409498812721398,0.9111111111111111,0.0,0,0.12523868175916625,2023,0.019107960652234874,0.009229254311356494,0.0020980140358466443,0.39053167486901125,0.6051,0.3348,0.8539,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'outlier_paydown_rate'], 'deviating_features': ['remaining_term_months', 'loan_age_months']}",48.7,0.79,0.487,0.699,5,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate
L000176,2025-02-01,2023-09-01,17,17,343,562268,611005.34,7.75,708,69.8,Atlas,Current,30,complete,2025-02-16,core,,,,,current,none,0.10610926677141418,680-739,61-80,25.4,21-35,GA,purchase,owner,condo,360,2023,708,69.8,25.4,1.0866799106475915,0.9527777777777777,30.0,1,-0.13414339668226777,2023,0.1680915544290085,0.07659157290410706,0.05910371161146704,0.3376453900339605,0.3296,0.506,0.8479,balance_exceeds_original; dpd_status_break; outlier_balance_ratio,"{'rule_breaches': ['balance_exceeds_original', 'dpd_status_break', 'outlier_balance_ratio'], 'deviating_features': ['days_past_due', 'current_balance']}",50.7,0.679,0.507,0.627,5,escalate_human_review,balance_exceeds_original; dpd_status_break; outlier_balance_ratio
L000847,2025-04-01,2023-08-01,20,20,220,434767,429263.05,3.75,771,64.9,Beacon,Prepaid,-10,missing,2025-04-02,core,,,,,prepaid,missing_docs,0.5870097675596017,740+,61-80,25.6,21-35,CA,refinance,owner,townhouse,240,2023,771,64.9,25.6,0.9873404605225328,0.9166666666666666,-10.0,0,0.0,2023,0.01709513520468837,0.027894614583089238,0.005466616570331164,0.23284670992083725,0.7603,0.5511,0.8449,dpd_impossible; prepaid_positive_balance; outlier_remaining_term_months,"{'rule_breaches': ['dpd_impossible', 'prepaid_positive_balance', 'outlier_remaining_term_months'], 'deviating_features': ['days_past_due', 'interest_rate']}",51.7,0.858,0.517,0.756,4,escalate_human_review,dpd_impossible; prepaid_positive_balance; outlier_remaining_term_months
L001045,2025-02-01,2023-09-01,17,17,223,143763,157168.04,5.5,785,71.2,Beacon,Default,120,complete,2025-02-02,core,,,,,default,source_conflict,0.1504650206452276,740+,61-80,47.7,44-50,TX,purchase,owner,sfr,240,2023,785,71.2,47.7,1.0932440196712645,0.9291666666666667,0.0,1,-0.0975039347441735,2023,0.06592991724866487,0.1678331586315344,0.0554511406832646,0.1755900527954977,0.4661,0.4932,0.8359,balance_exceeds_original; outlier_remaining_term_months; outlier_balance_ratio,"{'rule_breaches': ['balance_exceeds_original', 'outlier_remaining_term_months', 'outlier_balance_ratio'], 'deviating_features': ['days_past_due', 'remaining_term_months']}",54.7,0.768,0.547,0.702,5,escalate_human_review,balance_exceeds_original; outlier_remaining_term_months; outlier_balance_ratio
L000362,2025-03-01,2023-06-01,21,21,339,353726,-25.0,7.75,627,60.4,Beacon,30 DPD,30,complete,2025-03-10,core,,,,,60_dpd,data_break,0.22281835616396942,620-679,61-80,38.1,36-43,FL,refinance,owner,townhouse,360,2023,627,60.4,38.1,0.0,0.9416666666666667,30.0,1,1.0,2023,0.1403855534838037,0.12928843264797527,0.03294033593995826,0.016552915149842945,0.4216,0.3735,0.8329,negative_balance; outlier_balance_ratio; outlier_paydown_rate,"{'rule_breaches': ['negative_balance', 'outlier_balance_ratio', 'outlier_paydown_rate'], 'deviating_features': ['days_past_due', 'current_balance']}",55.7,0.84,0.557,0.755,4,escalate_human_review,negative_balance; outlier_balance_ratio; outlier_paydown_rate
