scenario,segment,segment_value,next_12m_default_prob,next_3m_delinquency_prob,next_12m_prepayment_prob
Base,credit_score_band,620-679,0.11482362097014176,0.08196466081356153,0.16782434431996762
Base,credit_score_band,680-739,0.0694770822776451,0.07802147872134106,0.24702428455821704
Base,credit_score_band,740+,0.03143816261664309,0.040553472456123396,0.35981587125016046
Base,credit_score_band,<620,0.17029714743787716,0.10733657233224071,0.14663990567047655
Base,state,CA,0.07760193647558425,0.07368560340677127,0.2597122916735111
Base,state,FL,0.10567509966777407,0.07770364892524115,0.16927098620102551
Base,state,GA,0.0799085294262435,0.07033207925746693,0.3100681890169756
Base,state,IL,0.1152734057437129,0.09083313103530354,0.2393728255426666
Base,state,NY,0.03666284935289767,0.04504561070305568,0.22826287131663262
Base,state,TX,0.13118888873548087,0.0837645698045439,0.2503385128092807
Base,state,WA,0.06472684765484253,0.06513304093397232,0.26718160560089643
Base,servicer_name,Atlas,0.08498383086137029,0.07139686645342667,0.2365335280580505
Base,servicer_name,Beacon,0.0903260068743782,0.06843700637646945,0.23936239278024019
Base,servicer_name,Cedar,0.08283686120613527,0.07677704737023187,0.2610458294922494
Base,vintage_year,2023,0.08617486062991105,0.07212538712635727,0.2456621484687177
Adverse Credit,credit_score_band,620-679,0.11807274470525626,0.09007378810462281,0.1390589470765201
Adverse Credit,credit_score_band,680-739,0.07355369986847177,0.07673798670920952,0.1932120200136565
Adverse Credit,credit_score_band,740+,0.03396421404642136,0.04919886577062233,0.32323902351019285
Adverse Credit,credit_score_band,<620,0.17721642277767038,0.1259078711008569,0.10905947035506622
Adverse Credit,state,CA,0.07961248925382448,0.08099861311011637,0.2216290846212445
Adverse Credit,state,FL,0.11188054420850982,0.08296299288684596,0.13558671270010125
Adverse Credit,state,GA,0.08524214672185815,0.07728636490866525,0.2655006908856465
Adverse Credit,state,IL,0.11905224701677672,0.09813001593950409,0.2068464212735056
Adverse Credit,state,NY,0.036932589886097954,0.05480252702711114,0.18496708207608747
Adverse Credit,state,TX,0.13552831001419152,0.09272205490553438,0.2181698720308544
Adverse Credit,state,WA,0.07002634767816444,0.0735770451730291,0.21798300282783103
Adverse Credit,servicer_name,Atlas,0.09029921561949317,0.07865906600153806,0.20348092483642935
Adverse Credit,servicer_name,Beacon,0.09415393434991197,0.07529349723865032,0.19899963605142898
Adverse Credit,servicer_name,Cedar,0.08536615732515798,0.08571386400635317,0.21731408488638754
Adverse Credit,vintage_year,2023,0.0900374921797648,0.07979793727374371,0.20646825205788188
High Prepayment,credit_score_band,620-679,0.11482362097014176,0.08196466081356153,0.22779136446579323
High Prepayment,credit_score_band,680-739,0.0694770822776451,0.07802147872134106,0.3069162475848782
High Prepayment,credit_score_band,740+,0.03143816261664309,0.040553472456123396,0.4196661403410551
High Prepayment,credit_score_band,<620,0.17029714743787716,0.10733657233224071,0.20663990567047655
High Prepayment,state,CA,0.07760193647558425,0.07368560340677127,0.3197122916735111
High Prepayment,state,FL,0.10567509966777407,0.07770364892524115,0.22926896889449586
High Prepayment,state,GA,0.0799085294262435,0.07033207925746693,0.3698743382417247
High Prepayment,state,IL,0.1152734057437129,0.09083313103530354,0.2993619916077809
High Prepayment,state,NY,0.03666284935289767,0.04504561070305568,0.2882071389401033
High Prepayment,state,TX,0.13118888873548087,0.0837645698045439,0.3100512697709883
High Prepayment,state,WA,0.06472684765484253,0.06513304093397232,0.32709471925595673
High Prepayment,servicer_name,Atlas,0.08498383086137029,0.07139686645342667,0.2963993943641713
High Prepayment,servicer_name,Beacon,0.0903260068743782,0.06843700637646945,0.29932575095691366
High Prepayment,servicer_name,Cedar,0.08283686120613527,0.07677704737023187,0.32095898246811694
High Prepayment,vintage_year,2023,0.08617486062991105,0.07212538712635727,0.3055783983750395
