scenario,base_default_rate,scenario_default_rate,delta_pp,credit_score_band,ltv_band
Adverse Credit,0.36395,0.36094,-0.3006,620-679,100+
Adverse Credit,0.11018,0.13666,2.6479,620-679,61-80
Adverse Credit,0.17543,0.1835,0.8079,620-679,81-100
Adverse Credit,0.04485,0.08456,3.9713,620-679,<=60
Adverse Credit,0.11515,0.17409,5.8941,680-739,100+
Adverse Credit,0.06792,0.07333,0.5405,680-739,61-80
Adverse Credit,0.08103,0.10222,2.1191,680-739,81-100
Adverse Credit,0.01658,0.02221,0.5631,680-739,<=60
Adverse Credit,0.05858,0.08149,2.2917,740+,100+
Adverse Credit,0.03483,0.03963,0.4795,740+,61-80
Adverse Credit,0.0889,0.09485,0.5954,740+,81-100
Adverse Credit,0.00963,0.01147,0.1839,740+,<=60
Adverse Credit,0.51431,0.57812,6.3814,<620,100+
Adverse Credit,0.16832,0.29145,12.3129,<620,61-80
Adverse Credit,0.26623,0.36261,9.6382,<620,81-100
Adverse Credit,0.14383,0.22808,8.4247,<620,<=60
High Prepayment,0.36395,0.36395,0.0,620-679,100+
High Prepayment,0.11018,0.11018,0.0,620-679,61-80
High Prepayment,0.17543,0.17543,0.0,620-679,81-100
High Prepayment,0.04485,0.04485,0.0,620-679,<=60
High Prepayment,0.11515,0.11515,0.0,680-739,100+
High Prepayment,0.06792,0.06792,0.0,680-739,61-80
High Prepayment,0.08103,0.08103,0.0,680-739,81-100
High Prepayment,0.01658,0.01658,0.0,680-739,<=60
High Prepayment,0.05858,0.05858,0.0,740+,100+
High Prepayment,0.03483,0.03483,0.0,740+,61-80
High Prepayment,0.0889,0.0889,0.0,740+,81-100
High Prepayment,0.00963,0.00963,0.0,740+,<=60
High Prepayment,0.51431,0.51431,0.0,<620,100+
High Prepayment,0.16832,0.16832,0.0,<620,61-80
High Prepayment,0.26623,0.26623,0.0,<620,81-100
High Prepayment,0.14383,0.14383,0.0,<620,<=60
